time,strain,rep,dilution,count
0,CAE163,1,6,8
0,CAE163,1,6,9
0,CAE163,1,6,10
0,CAE163,1,6,9
0,CAE163,1,6,10
0,CAE163,1,6,10
0,CAE163,1,6,15
0,CAE163,2,6,8
0,CAE163,2,6,10
0,CAE163,2,6,8
0,CAE163,2,6,9
0,CAE163,2,6,10
0,CAE163,2,6,10
0,CAE163,2,6,10
0,CAE268,1,6,9
0,CAE268,1,6,7
0,CAE268,1,6,11
0,CAE268,1,6,11
0,CAE268,1,6,11
0,CAE268,1,6,10
0,CAE268,2,6,8
0,CAE268,2,6,11
0,CAE268,2,6,15
0,CAE268,2,6,10
0,CAE268,2,6,10
0,CAE268,2,6,8
0,CAE268,2,6,9
0,CAE271,1,6,9
0,CAE271,1,6,9
0,CAE271,1,6,8
0,CAE271,1,6,8
0,CAE271,1,6,11
0,CAE271,1,6,8
0,CAE271,1,6,7
0,CAE271,2,6,10
0,CAE271,2,6,9
0,CAE271,2,6,7
0,CAE271,2,6,10
0,CAE271,2,6,7
0,CAE271,2,6,9
0,CAE271,2,6,10
0,CAE433,1,6,11
0,CAE433,1,6,8
0,CAE433,1,6,8
0,CAE433,1,6,8
0,CAE433,1,6,10
0,CAE433,1,6,8
0,CAE433,1,6,8
0,CAE433,2,6,8
0,CAE433,2,6,6
0,CAE433,2,6,6
0,CAE433,2,6,6
0,CAE433,2,6,7
0,CAE433,2,6,4
0,CAE433,2,6,5
0,CAE466,1,6,10
0,CAE466,1,6,9
0,CAE466,1,6,11
0,CAE466,1,6,12
0,CAE466,1,6,10
0,CAE466,1,6,9
0,CAE466,1,6,11
0,CAE466,2,6,10
0,CAE466,2,6,6
0,CAE466,2,6,10
0,CAE466,2,6,8
0,CAE466,2,6,7
0,CAE466,2,6,10
0,CAE466,2,6,10
0,CAE467,1,6,13
0,CAE467,1,6,5
0,CAE467,1,6,9
0,CAE467,1,6,9
0,CAE467,1,6,7
0,CAE467,1,6,11
0,CAE467,1,6,11
0,CAE467,1,6,4
0,CAE467,2,6,16
0,CAE467,2,6,11
0,CAE467,2,6,7
0,CAE467,2,6,9
0,CAE467,2,6,15
0,CAE467,2,6,11
0,CAE467,2,6,14
0,CAE467,2,6,9
0,CAE493,1,6,9
0,CAE493,1,6,11
0,CAE493,1,6,10
0,CAE493,1,6,12
0,CAE493,1,6,12
0,CAE493,1,6,9
0,CAE493,1,6,9
0,CAE493,2,6,12
0,CAE493,2,6,10
0,CAE493,2,6,9
0,CAE493,2,6,10
0,CAE493,2,6,11
0,CAE493,2,6,12
0,CAE493,2,6,12
0,CAE494,1,6,6
0,CAE494,1,6,8
